source,target,value
Crookshanks,Ron,42
Crookshanks,Snape,12
Crookshanks,Trevor,8
Crookshanks,able,8
Crookshanks,black,4
Crookshanks,butterbeer,4
Crookshanks,day,4
Crookshanks,face,12
Crookshanks,group,8
DAI LLEWELLYN,Augustus Pye,2
DAI LLEWELLYN,Molly,6
DILYS DERWENT,Harry,7
DOLORES,Umbridge,9
DOLORES UMBRIDGE,Harry,12
DON,Harry,12
DUDLEY,Dudley,9
DUDLEY,Harry,10
DUDLEY,Vernon,3
DUDLEY,face,9
DUDLEY,hope,1
DUMBLEDORE,Harry,9
DUMBLEDORE,Hedwig,4
DUMBLEDORE,Hermione,9
DUMBLEDORE,Umbridge,6
DUMBLEDORE,count,4
Dai Llewellyn,Arthur Weasley,7
Dai Llewellyn,foul-smelling,2
Daphne Greengrass,Anthony Goldstein,7
Daphne Greengrass,Parkinson,4
Davies,Bradley,4
Davies,Chambers,3
Davies,Cho,17
Davies,Hermione,8
Davies,Lee,9
Davies,Roger,20
Davies,Ron,9
Davies,Umbridge,3
Davies,face,3
Dawn,Harry,3
Day,CHO,4
Day,Cho,20
Day,Gilderoy,7
Day,Harry,9
Day,Ron,4
Day,Sirius,12
Day,able,3
Day,day,3
Day,magic,6
Dean,Bellatrix Lestrange,4
Dean,Catherine,3
Dean,Cho Chang,4
Dean,Dumbledore,2
Dean,Firenze,4
Dean,George,8
Dean,Ginny,12
Dean,Hagrid,3
Dean,Harry,28
Dean,Hermione,35
Dean,Katie Bell,4
Dean,Lupin,3
Dean,McGonagall,20
Dean,Mr. Weasley,4
Dean,Parvati,29
Dean,Phineas,8
Dean,Ron,15
Dean,Seamus,82
Dean,Thomas,3
Dean,Trelawney,12
Dean,UMBRIDGE,4
Dean,Umbridge,24
Dean,Voldemort,3
Dean,dawn,8
Dean,face,12
Dean,group,4
Dean,hall,8
Dean,stunned,4
Dean Thomas,Angelina,4
Dean Thomas,Dean,8
Dean Thomas,Dumbledore,4
Dean Thomas,Ginny,4
Dean Thomas,Harry,64
Dean Thomas,Hermione,8
Dean Thomas,McGonagall,3
Dean Thomas,Snape,8
Dean Thomas,Umbridge,3
Dedalus Diggle,Alice Longbottom,3
Dedalus Diggle,Dumbledore,3
Dedalus Diggle,Harry,6
Dedalus Diggle,Lupin,3
Dedalus Diggle,Marlene,3
Dedalus Diggle,black,12
Dennis,Alicia,4
Dennis,Luna Lovegood,8
Dennis,brothers,12
